Center,Item,Min Price,Max Price,Total Arrival,Year,Month,Min Temp,Max Temp,Wind Speed( ),RainFall(   ),Humidity( ),Cloud( ),Pressure(  ),Yield
Chennai ,Onion,3600,4967,12720,2019,10,26,31,15,0,77,11,1011,0
Chennai ,Onion,6177,7969,13430,2019,11,26,30,9,0.1,76,17,1011,0
Chennai ,Onion,9931,13444,12642,2019,12,25,27,15,65.9,87,75,1012,0
Chennai ,Onion,4893,7339,15540,2020,1,27,25,23,6.3,78,73,1014,0
Chennai ,Onion,2842,4275,23820,2020,2,28,25,14,0,70,15,1012,0
Chennai ,Onion,2005,3232,9970,2020,3,25,29,12,0,63,2,1012,1
Chennai ,Onion,0,0,0,2020,4,26,31,17,0,70,2,1010,1
Chennai ,Onion,0,0,0,2020,5,28,33,21,0,73,12,1008,1
Chennai ,Onion,0,0,0,2020,6,29,33,30,0,72,16,1007,1
Chennai ,Onion,0,0,0,2020,7,26,32,15,33.3,72,68,1004,1
Chennai ,Onion,0,0,0,2020,8,29,23,16,7.3,76,71,1004,1
Chennai ,Onion,0,0,0,2020,9,28,32,10,3.7,70,67,1006,1
Chennai ,Onion,0,0,0,2020,10,22,30,15,1.2,74,58,1005,1
Chennai ,Onion,0,0,0,2020,11,26,30,11,0,69,17,1010,1
Chennai ,Onion,0,0,0,2020,12,25,27,24,0.2,74,42,1013,1
Chennai ,Onion,3267,5000,1580,2021,1,27,25,25,11.1,83,74,1009,1
Chennai ,Onion,4165,5804,10300,2021,2,28,36,18,0,72,8,1015,1
Chennai ,Onion,2368,3676,13990,2021,3,23,28,14,0,70,0,1011,0
Chennai ,Onion,1433,2462,12130,2021,4,28,28,24,0,67,0,1003,0
Chennai ,Onion,1425,2475,2100,2021,5,28,32,21,0,69,15,1008,1
Chennai ,Onion,0,0,0,2021,6,30,34,17,0,64,15,1004,0
Chennai ,Onion,2100,3500,1020,2021,7,25,29,14,26.8,74,72,1005,1
Chennai ,Onion,2261,3491,11780,2021,8,34,28,18,0.2,56,67,1005,1
Chennai ,Onion,1892,3060,13465,2021,9,28,33,13,1,67,68,1006,0
Chennai ,Onion,2786,4171,10860,2021,10,27,32,10,1.4,71,51,1007,0
Chennai ,Onion,2980,4400,2630,2021,11,27,30,13,7.1,77,68,1010,1
Ahmedabad,Onion,1188,1826,5020,2010,1,16,30,13,0,35,2,1014,1
Ahmedabad,Onion,1041,1565,6345,2010,2,16,34,8,0,23,3,1014,1
Ahmedabad,Onion,748,1217,6905,2010,3,20,38,7,0,18,2,1012,1
Ahmedabad,Onion,525,965,9965,2010,4,24,40,13,0,44,2,1008,1
Ahmedabad,Onion,486,825,5696,2010,5,29,44,9,0,22,1,1009,1
Ahmedabad,Onion,565,978,11844,2010,6,31,44,15,0,37,19,1006,0
Ahmedabad,Onion,674,1135,11653,2010,7,31,42,16,0,49,23,1000,1
Ahmedabad,Onion,810,1250,6503,2010,8,26,32,6,2.2,80,62,1002,1
Ahmedabad,Onion,1230,1779,8125,2010,9,25,31,12,3.2,86,61,1003,1
Ahmedabad,Onion,1464,1982,5636,2010,10,24,37,9,0,44,3,1008,1
Ahmedabad,Onion,1665,2333,4943,2010,11,22,35,12,0,35,1,1011,1
Ahmedabad,Onion,2282,3468,5122,2010,12,21,32,9,0,53,0,1011,1
Ahmedabad,Onion,2232,3436,5354,2011,1,12,26,13,0,30,0,1013,1
Ahmedabad,Onion,915,1405,8292,2011,2,16,33,12,0,36,0,1014,1
Ahmedabad,Onion,457,931,8886,2011,3,20,36,11,0,23,6,1011,1
Ahmedabad,Onion,416,777,7820,2011,4,23,40,10,0,33,1,1009,1
Ahmedabad,Onion,385,802,7381,2011,5,29,45,12,0,31,5,1006,1
Ahmedabad,Onion,463,908,9523,2011,6,31,41,19,0.9,44,13,1001,1
Ahmedabad,Onion,621,1142,9392,2011,7,29,35,20,0.4,55,62,1001,1
Ahmedabad,Onion,740,1325,8446,2011,8,26,33,12,6.2,79,75,1000,1
Ahmedabad,Onion,793,1520,8918,2011,9,26,31,7,86.3,91,63,999,1
Ahmedabad,Onion,734,1235,6362,2011,10,26,33,8,0,67,9,1009,1
Ahmedabad,Onion,731,1270,8107,2011,11,23,34,12,0,36,29,1011,1
Ahmedabad,Onion,535,1092,9241,2011,12,21,34,12,0,28,1,1011,1
Ahmedabad,Onion,404,872,8119,2012,1,15,26,15,0,44,0,1014,1
Ahmedabad,Onion,341,713,10773,2012,2,13,27,17,0,27,1,1018,1
Ahmedabad,Onion,415,800,10975,2012,3,18,31,10,0,41,0,1008,1
Ahmedabad,Onion,435,791,5838,2012,4,27,42,13,0,20,7,1010,1
Ahmedabad,Onion,378,808,5549,2012,5,28,42,10,0,23,0,1004,1
Ahmedabad,Onion,468,886,5032,2012,6,29,41,18,0,43,1,1002,1
Ahmedabad,Onion,588,913,5681,2012,7,31,39,12,2.6,52,27,999,1
Ahmedabad,Onion,678,990,5116,2012,8,27,32,17,1.6,72,84,1003,1
Ahmedabad,Onion,629,957,3558,2012,9,27,35,8,9,79,39,1001,1
Ahmedabad,Onion,740,1183,5779,2012,10,25,37,10,0,48,9,1008,1
Ahmedabad,Onion,856,1613,3421,2012,11,21,33,18,0,32,0,1011,1
Ahmedabad,Onion,944,1754,3217,2012,12,17,30,14,0,32,1,1012,1
Ahmedabad,Onion,1280,1805,8630,2013,1,16,29,10,0,36,0,1011,1
Ahmedabad,Onion,1301,1975,14417,2013,2,18,33,10,0,32,4,1013,0
Ahmedabad,Onion,958,1505,12995,2013,3,18,33,17,0,16,1,1016,1
Ahmedabad,Onion,834,1277,15383,2013,4,26,41,11,0,20,0,1008,0
Ahmedabad,Onion,719,1205,14114,2013,5,31,44,14,0,14,0,1005,0
Ahmedabad,Onion,1206,1696,12582,2013,6,30,42,14,0.1,40,9,1002,0
Ahmedabad,Onion,2044,2559,11588,2013,7,29,36,13,15.3,63,66,1000,1
Ahmedabad,Onion,3430,4191,7644,2013,8,27,29,11,4.8,86,82,999,1
Ahmedabad,Onion,4349,5164,6877,2013,9,26,33,10,0.3,71,49,1007,1
Ahmedabad,Onion,3450,5152,13009,2013,10,25,32,9,1.4,79,52,1005,0
Ahmedabad,Onion,3061,4271,9723,2013,11,24,36,4,0,46,0,1013,1
Ahmedabad,Onion,1530,1845,10534,2013,12,19,34,10,0,31,0,1014,0
Ahmedabad,Onion,1083,1450,12719,2014,1,14,26,18,0,47,23,1017,0
Ahmedabad,Onion,728,1229,14512,2014,2,17,31,13,0,29,3,1015,0
Ahmedabad,Onion,808,1292,17399,2014,3,18,30,12,0,23,0,1014,0
Ahmedabad,Onion,785,1265,13171,2014,4,25,38,15,0,29,0,1008,0
Ahmedabad,Onion,860,1465,13814,2014,5,28,43,15,0,21,1,1007,0
Ahmedabad,Onion,1162,1804,14773,2014,6,31,44,11,0,39,1,1004,0
Ahmedabad,Onion,1732,2381,10375,2014,7,30,36,19,0.1,52,51,1005,1
Ahmedabad,Onion,1459,2096,10151,2014,8,27,34,14,2.2,77,64,1000,1
Ahmedabad,Onion,1360,1988,13717,2014,9,28,34,6,24.8,76,43,998,0
Ahmedabad,Onion,1460,2041,13446,2014,10,28,38,3,0.3,52,11,1011,0
Ahmedabad,Onion,1436,2273,13326,2014,11,23,36,11,0,33,4,1012,0
Ahmedabad,Onion,1453,2184,12371,2014,12,21,32,6,0,38,4,1014,0
Ahmedabad,Onion,1359,2317,13405,2015,1,15,27,20,1.6,62,11,1011,0
Ahmedabad,Onion,1569,2300,13009,2015,2,18,31,10,0,26,0,1014,1
Ahmedabad,Onion,1389,2285,11983,2015,3,20,28,29,11.2,57,22,1007,1
Ahmedabad,Onion,1099,2300,14303,2015,4,26,39,14,0,24,1,1008,0
Ahmedabad,Onion,1140,2300,13349,2015,5,30,43,14,0,32,0,1007,0
Ahmedabad,Onion,1582,2486,11567,2015,6,31,44,20,0,35,1,1002,0
Ahmedabad,Onion,1957,3375,11451,2015,7,30,38,23,0.1,50,46,1006,1
Ahmedabad,Onion,3838,5571,7103,2015,8,26,30,23,0.9,80,82,1006,1
Ahmedabad,Onion,4180,6762,7425,2015,9,26,32,10,4.7,78,57,1004,1
Ahmedabad,Onion,2757,5958,13974,2015,10,27,39,10,0,33,0,1011,0
Ahmedabad,Onion,1881,4023,17691,2015,11,21,33,14,0,45,3,1013,0
Ahmedabad,Onion,1283,2889,17078,2015,12,23,34,9,0,29,5,1014,0
Ahmedabad,Onion,942,2250,19722,2016,1,21,33,11,0,27,0,1018,0
Ahmedabad,Onion,741,1960,17281,2016,2,20,34,10,0,42,0,1015,0
Ahmedabad,Onion,748,2000,15928,2016,3,24,39,12,0,18,4,1012,0
Ahmedabad,Onion,768,1926,20460,2016,4,26,39,12,0,34,9,1009,0
Ahmedabad,Onion,618,1608,16673,2016,5,31,42,12,0,26,2,1006,0
Ahmedabad,Onion,753,1992,16885,2016,6,30,42,15,0,42,6,1004,0
Ahmedabad,Onion,782,2000,16566,2016,7,30,38,16,0.2,59,45,1000,0
Ahmedabad,Onion,680,1985,19736,2016,8,26,34,16,10.3,75,81,1002,0
Ahmedabad,Onion,507,1644,19011,2016,9,26,32,10,1.8,77,74,1005,0
Ahmedabad,Onion,697,1739,16302,2016,10,26,34,12,0.8,63,32,1006,0
Ahmedabad,Onion,832,1899,16392,2016,11,21,33,11,0,29,0,1015,0
Ahmedabad,Onion,749,1931,19092,2016,12,22,35,8,0,31,0,1014,0
Ahmedabad,Onion,717,1536,18887,2017,1,18,33,8,0,37,0,1014,0
Ahmedabad,Onion,650,1500,16713,2017,2,18,34,7,0,29,0,1014,0
Ahmedabad,Onion,662,1524,20378,2017,3,22,37,11,0,22,0,1012,0
Ahmedabad,Onion,578,1532,15707,2017,4,27,41,13,0,21,1,1009,0
Ahmedabad,Onion,496,1508,19229,2017,5,29,43,10,0,32,1,1008,0
Ahmedabad,Onion,591,1533,17756,2017,6,30,43,13,0,44,8,1002,0
Ahmedabad,Onion,659,1604,19299,2017,7,27,30,19,19.5,76,68,999,0
Ahmedabad,Onion,1899,2910,13233,2017,8,28,33,16,0.9,66,70,1005,0
Ahmedabad,Onion,1403,3000,18090,2017,9,25,33,17,0.9,73,43,1006,0
Ahmedabad,Onion,2238,3923,21214,2017,10,29,40,8,0,34,5,1009,0
Ahmedabad,Onion,2890,5231,16698,2017,11,26,36,8,0,20,0,1014,0
Ahmedabad,Onion,3049,5762,10977,2017,12,22,33,11,0,27,0,1013,0
Ahmedabad,Onion,3035,5120,13820,2018,1,18,30,9,0,32,0,1012,0
Ahmedabad,Onion,1823,4065,14103,2018,2,24,37,6,0,23,0,1015,0
Ahmedabad,Onion,926,2711,13698,2018,3,27,38,9,0,18,5,1011,0
Ahmedabad,Onion,686,2114,17044,2018,4,28,39,11,0,19,0,1008,0
Ahmedabad,Onion,592,1921,17165,2018,5,31,43,15,0,31,0,1006,0
Ahmedabad,Onion,840,2000,16041,2018,6,33,43,14,0,43,7,1004,0
Ahmedabad,Onion,1121,2214,17897,2018,7,30,38,20,0.6,52,31,1003,0
Ahmedabad,Onion,922,2479,16940,2018,8,27,31,18,0.4,64,76,1003,0
Ahmedabad,Onion,784,2045,18730,2018,9,26,32,13,2.1,71,66,1006,0
Ahmedabad,Onion,1090,2190,16750,2018,10,30,39,6,0,36,2,1010,0
Ahmedabad,Onion,879,2357,6722,2018,11,25,35,10,0,33,4,1013,1
Ahmedabad,Onion,658,1833,6202,2018,12,20,32,11,0,35,0,1015,1
Ahmedabad,Onion,593,2016,14263,2019,1,18,33,9,0,23,0,1019,0
Ahmedabad,Onion,533,1961,12184,2019,2,18,29,13,0,33,1,1016,1
Ahmedabad,Onion,651,1893,12269,2019,3,19,33,13,0,18,4,1012,1
Ahmedabad,Onion,713,2000,16046,2019,4,29,44,10,0,20,0,1009,0
Ahmedabad,Onion,804,2000,16086,2019,5,32,41,15,0,24,0,1004,0
Ahmedabad,Onion,0,0,0,2019,6,34,44,16,0,40,1,1004,1
Ahmedabad,Onion,1190,2000,7267,2019,7,26,37,14,45.7,63,35,1001,1
Ahmedabad,Onion,1709,2833,15617,2019,8,26,28,20,75.2,87,94,1002,0
Ahmedabad,Onion,2889,4685,16254,2019,9,27,33,10,43.4,78,50,1001,0
Ahmedabad,Onion,2881,6222,14814,2019,10,24,32,16,27.1,76,29,1008,0
Ahmedabad,Onion,4344,7563,12313,2019,11,27,35,11,2.4,54,20,1010,0
Ahmedabad,Onion,6034,9625,10192,2019,12,24,33,11,0,40,7,1013,0
Ahmedabad,Onion,3577,7680,12021,2020,1,17,28,12,0,50,5,1013,1
Ahmedabad,Onion,2139,5333,11391,2020,2,15,28,16,0,21,0,1015,1
Ahmedabad,Onion,1759,3875,12151,2020,3,24,37,9,0,29,0,1010,1
Ahmedabad,Onion,0,0,0,2020,4,26,37,16,0,30,1,1011,1
Ahmedabad,Onion,0,0,0,2020,5,30,43,19,0,27,3,1008,1
Ahmedabad,Onion,816,2563,6725,2020,6,30,41,18,0.3,47,24,1007,0
Ahmedabad,Onion,782,2588,8397,2020,7,30,39,14,3.6,55,45,1000,1
Ahmedabad,Onion,0,0,0,2020,8,30,36,13,1,61,61,1002,1
Ahmedabad,Onion,2323,4250,13417,2020,9,26,33,14,0.5,73,34,1007,0
Ahmedabad,Onion,3898,6571,11131,2020,10,28,35,9,0.4,56,30,1007,1
Ahmedabad,Onion,3733,7167,7642,2020,11,25,35,9,0,23,0,1013,1
Ahmedabad,Onion,2380,5727,10829,2020,12,24,34,11,0,34,5,1014,0
Ahmedabad,Onion,2326,5000,14590,2021,1,17,31,11,0,44,3,1012,0
Ahmedabad,Onion,2518,4478,24641,2021,2,18,33,14,0,14,0,1016,0
Ahmedabad,Onion,1324,4080,20755,2021,3,24,37,13,0,20,0,1012,0
Ahmedabad,Onion,944,3125,13992,2021,4,28,42,11,0,29,0,1003,0
Ahmedabad,Onion,1345,3658,14338,2021,5,30,40,12,0,29,21,1007,0
Ahmedabad,Onion,1757,3967,9048,2021,6,29,40,19,0,46,3,1003,0
Ahmedabad,Onion,1627,3500,23739,2021,7,29,38,21,0,49,20,1001,0
Ahmedabad,Onion,1507,3000,14257,2021,8,27,30,19,0.6,75,89,1000,0
Ahmedabad,Onion,1449,3100,12439,2021,9,24,27,15,13.8,92,100,1004,0
Ahmedabad,Onion,0,0,0,2021,10,25,32,16,1.3,81,56,1007,1
Ahmedabad,Onion,0,0,0,2021,11,21,36,11,0,29,0,1012,1
